timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1475950814971,288,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-80,text,true,,2834,189,189,287,0
1475950814958,302,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-73,text,true,,2834,189,189,302,0
1475950815058,201,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-123,text,true,,2834,189,189,201,0
1475950814972,289,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-83,text,true,,2834,189,189,289,0
1475950815120,141,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-147,text,true,,2834,188,188,141,0
1475950814997,265,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-90,text,true,,2834,186,186,265,0
1475950815030,233,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-109,text,true,,2834,185,185,233,0
1475950815062,202,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-125,text,true,,2834,185,185,202,0
1475950814997,268,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-28,text,true,,2834,184,184,268,0
1475950814993,273,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-7,text,true,,2834,182,182,273,0
1475950815120,146,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-146,text,true,,2834,182,182,146,0
1475950814956,311,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-74,text,true,,2834,180,180,311,0
1475950814972,295,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-81,text,true,,2834,179,179,295,0
1475950815028,240,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-108,text,true,,2834,179,179,240,0
1475950814965,304,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-43,text,true,,2834,179,179,304,0
1475950815014,256,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-33,text,true,,2834,178,178,256,0
1475950815108,163,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-144,text,true,,2834,177,177,163,0
1475950814942,330,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-56,text,true,,2834,176,176,330,0
1475950815013,260,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-99,text,true,,2834,175,175,260,0
1475950814994,279,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-89,text,true,,2834,175,175,279,0
1475950814965,308,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-41,text,true,,2834,175,175,308,0
1475950815013,261,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-16,text,true,,2834,173,173,261,0
1475950815122,152,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-148,text,true,,2834,173,173,152,0
1475950815109,165,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-145,text,true,,2834,173,173,165,0
1475950814959,316,Requisição GET ao Tornado HTTP,200,OK,Grupo de Usuários 1-26,text,true,,2834,171,171,316,0
